PRODREST,Litres
Month1,4.804579969
Month2,5.270366314
Month3,5.056038713
Month4,4.663805685
Month5,4.219287678
Month6,3.772918717
Month7,3.347610677
Month8,2.953737971
Month9,2.595313179
