MP,Contract,Spot
Jan,0.47,0.33
Feb,0.47,0.33
Mar,0.47,0.33
Apr,0.47,0.33
May,0.47,0.33
Jun,0.47,0.33
Jul,0.47,0.33
Aug,0.47,0.33
Sep,0.47,0.33
Oct,0.47,0.33
Nov,0.47,0.33
Dec,0.47,0.33
